sample_id,captured_at,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,dt12,dt23,dt34,x_hit,y_hit,z_hit,vx_hit,vy_hit,vz_hit,t_hit,is_reachable,intercept_valid,bounces_before_hit
69,2026-04-03T01:12:29.561,586.2828863,2688.880957,-844.0691838,567.5973291,2616.73272,-874.4724709,550.241557,2546.152363,-907.464228,530.8241378,2474.802314,-943.2153665,0.0142981,0.0176578,0.014887,-112.1840995,111.487584,-986.1929157,-481.556266,-1753.316985,-1436.60906,0.9509737,1,1,1
70,2026-04-03T01:12:33.289,309.0131297,2627.313249,-907.3240499,294.6401248,2543.301316,-937.164304,279.418542,2461.070118,-969.261328,269.0318398,2381.615545,-1001.515439,0.0153681,0.0150629,0.0159937,-172.186433,27.3566268,-906.5436282,-433.8928643,-2306.068748,-14.36849539,0.7304967,1,1,1
71,2026-04-03T01:12:54.274,481.8042516,2693.439911,-898.9848879,479.5064697,2610.233455,-915.0805202,471.7436461,2524.417512,-938.0180946,465.9638701,2441.342121,-961.1948989,0.0152618,0.0173509,0.0154922,234.8920697,-14.06558367,-946.6415188,-232.4012894,-2440.2602,-190.8595788,0.7134089,1,1,1
72,2026-04-03T01:12:56.179,-239.1660648,2474.326472,-547.6252053,-253.5905245,2379.060989,-543.2780417,-271.5944214,2286.534796,-543.5171115,-287.0584713,2195.379307,-544.7799257,0.0164942,0.014915,0.0163664,-701.9476816,101.3485751,-867.2731516,-637.5350248,-3326.627271,1480.649721,0.4565566,1,1,1
73,2026-04-03T01:12:58.168,42.13350973,2548.528632,-537.3808198,43.25906278,2461.720099,-536.3713484,42.2631565,2376.02649,-537.835489,49.12271825,2294.348496,-541.1526749,0.0162013,0.0165287,0.0162191,42.49897817,264.0769094,-800.1516686,-1.871803211,-3040.415497,986.3440835,0.4967698,1,1,1
74,2026-04-03T01:13:00.627,166.1326887,2530.737704,-534.1251568,172.8847353,2434.638028,-526.1856413,182.3414834,2342.16337,-521.7047628,191.6256589,2249.966783,-519.3252699,0.014231,0.0172011,0.0149178,347.2801177,36.78936037,-886.4149854,242.9478522,-3408.073659,1742.177354,0.4682889,1,1,1
75,2026-04-03T01:13:13.229,-44.71729446,2555.721353,-792.0014782,-30.1147388,2498.918734,-803.5764707,-35.63757449,2433.264739,-822.9187284,-33.88183646,2365.551351,-843.4302541,0.0168633,0.0165208,0.0163474,523.3007843,212.600398,-849.1211163,632.4811534,-1539.717316,-50.06310365,0.9037226,1,1,1
76,2026-04-03T01:13:16.965,580.9163495,2703.578786,-718.6575715,598.52821,2646.369606,-712.0829721,593.5962638,2568.567358,-716.8590703,588.7395023,2492.45501,-725.2207783,0.0157127,0.0164601,0.0158259,333.2809307,-48.42843871,-859.0733256,-236.1752193,-2447.396062,-1224.718166,0.7536145,1,1,1
77,2026-04-03T01:13:20.121,373.767006,2694.234575,-1076.785318,361.0605717,2651.837422,-1053.264404,353.1771485,2614.600661,-1028.137182,345.3616014,2576.567255,-1003.920032,0.016046,0.0165514,0.01561,-191.2603754,371.2905183,-1019.507745,-300.1321407,-1232.469961,-378.471351,1.1959036,1,1,2
78,2026-04-03T01:13:22.810,375.7710232,2685.495928,-1033.600417,368.8705552,2628.780732,-1064.139705,366.9073249,2574.907495,-1092.606665,360.7659967,2522.238954,-1119.017445,0.0159889,0.0165791,0.016899,-95.48215548,304.3573057,-1018.159155,-319.0613183,-1507.716086,-833.7926105,1.0132493,1,1,2
79,2026-04-03T01:13:26.630,10.00770514,2588.79545,-931.4030993,22.18522071,2506.131803,-964.8885081,31.77766539,2423.22705,-1001.900082,46.10803383,2344.23027,-1038.071736,0.0165856,0.0145617,0.0211508,338.1614938,42.70653706,-895.3873795,281.8561953,-2251.891723,-21.42675853,0.7359166,1,1,1
80,2026-04-03T01:13:34.716,235.5829111,2622.585523,-679.9399171,239.2201987,2532.23893,-682.5996485,231.3806995,2439.257527,-688.8119743,244.0073794,2351.472991,-695.0740216,0.0146402,0.0155919,0.0191001,276.9264696,-0.208906539,-869.3029902,51.17636885,-3270.49362,-651.4093356,0.5384794,1,1,1
81,2026-04-03T01:13:37.104,-0.532853658,2566.489143,-543.9577153,6.090089392,2477.742254,-536.2198435,-8.500649702,2378.094605,-532.050236,-15.82898528,2284.380091,-530.2162563,0.0175578,0.0156088,0.0130775,-207.8033015,28.00482962,-865.3931319,-291.1783077,-3451.694899,1503.205945,0.4741123,1,1,1
